timestamp,open,high,low,close,volume,turnover
1749371160000,154181.6,155415.8,154181.6,155135.7,54.604,8462546.3367
1749371100000,153552.3,154534.3,153354.4,154181.6,38.984,6008031.882
1749371040000,152166.8,153552.3,152166.8,153552.3,13.405,2054390.4746
1749370980000,151177.2,152364.8,151177.2,152166.8,5.435,825747.6651
1749370920000,150257.1,151375.1,149989.7,151177.2,7.235,1091574.1242
1749370860000,148189.2,150257.1,148189.2,150257.1,1.005,150307.0758
1749370800000,147086.4,150187.6,147086.4,148189.2,5.138,768308.6526
1749370740000,147086.4,147086.4,147086.4,147086.4,0.733,107814.3312
1749370680000,147508.1,149593.8,135214,147086.4,19.22,2770857.4371
1749370620000,147068.6,147508.1,144080.4,147508.1,1.059,154269.0654
1749370560000,146516,147321.5,144121.7,147068.6,1.137,165113.1759
1749370500000,145537,147321.5,144121.7,146516,1.195,173386.6494
1749370440000,147321.5,147321.5,144121.7,145537,1.109,160827.5785
1749370380000,147321.5,147321.5,144121.7,147321.5,1.389,201914.9568
1749370320000,147068.6,147321.5,144121.7,147321.5,1.116,161948.5711
1749370260000,146429.3,147068.6,144121.7,147068.6,2.109,307352.9176
1749370200000,145537,146476.5,144121.7,146429.3,1.013,146640.9514
1749370140000,145209.7,146091.1,144121.7,145537,0.974,140702.8446
1749370080000,144121.7,145274.5,144121.7,145209.7,2.718,393519.783
1749370020000,142860.2,144288.8,140492.5,144121.7,0.941,134855.9588
1749369960000,143752.4,143941.3,140492.5,142860.2,11.133,1593191.8627
1749369900000,143350.8,143759.5,140492.5,143752.4,2.136,304305.5544
1749369840000,142421.4,143350.8,139000,143350.8,1.387,196302.5699
1749369780000,142860.2,143350.8,139190.8,142421.4,1.609,227758.4739
1749369720000,142421.4,142887.2,138643,142860.2,1.255,177121.1227
1749369660000,140562.5,142421.4,138762,142421.4,1.092,153923.5858
1749369600000,140000,141967.9,137774.1,140562.5,1.409,197152.4561
1749369540000,141491.9,141491.9,137841,140000,1.425,199121.6027
1749369480000,138028.5,141491.9,137841,141491.9,1.441,201566.5455
1749369420000,141491.9,141851.5,137841,138028.5,3.046,423662.0677
1749369360000,138703.5,142042.9,137800,141491.9,1.43,200137.1519
1749369300000,140562.5,142421.4,137774.1,138703.5,1.495,209728.836
1749369240000,140000,142421.4,137774.1,140562.5,1.445,201871.2766
1749369180000,143941.3,143941.3,140000,140000,1.233,174797.084
1749369120000,140492.5,143941.3,140492.5,143941.3,1.331,188955.1758
1749369060000,142860.2,143759.5,140492.5,140492.5,1.247,176559.5298
1749369000000,140492.5,143350.8,140492.5,142860.2,1.188,168077.5637
1749368940000,139064.2,143638.7,136821.6,140492.5,3.107,439784.4719
1749368880000,143017.5,144391.7,134200.2,139064.2,4.131,572272.6472
1749368820000,142042.9,143638.7,142042.9,143017.5,1.579,226299.2654
1749368760000,139633,142860.2,139633,142042.9,1.39,196364.6533
1749368700000,141472.5,142601.9,138703.5,139633,1.381,194359.9929
1749368640000,140879.3,141491.9,140879.3,141472.5,0.793,111741.895
1749368580000,140331.7,140902.1,138000,140879.3,2.02,282480.3449
1749368520000,139702.4,140331.7,138000,140331.7,1.44,200042.4572
1749368460000,139064.2,139702.4,136844.6,139702.4,1.052,145589.9106
1749368400000,138049.9,139064.2,134985.7,139064.2,2.343,322329.3642
1749368340000,136821.6,139064.2,136169,138049.9,1.384,190286.8815
1749368280000,138800,139291,136600,136821.6,1.448,199151.2668
1749368220000,138049.9,139400,136400,138800,1.373,189023.4392
1749368160000,139400,139400,136200,138049.9,1.442,198368.185
1749368100000,137600,139400,136055,139400,1.443,198944.979
1749368040000,138049.9,139400,136055,137600,1.451,199677.7122
1749367980000,137600,139633,135836.3,138049.9,1.367,188122.6817
1749367920000,139800,139909.6,135915.2,137600,1.417,195099.3471
1749367860000,138049.9,140000,136400,139800,1.423,196077.5283
1749367800000,140000,140000,136821.6,138049.9,1.447,199949.9695
1749367740000,138200,140220.7,136055,140000,1.404,193683.7452
1749367680000,140000,140220.7,136055,138200,1.426,197176.8493
1749367620000,138000,140000,136309,140000,1.423,196669.6783
1749367560000,138218.7,139633,136055,138000,1.486,204858.0633
1749367500000,138600,139200,136200,138218.7,1.371,188842.3205
1749367440000,138028.5,138600,136055,138600,1.477,202856.9602
1749367380000,137200,138028.5,134829.7,138028.5,1.481,202407.7085
1749367320000,136909.1,137497.5,134627.4,137200,2.427,331712.9623
1749367260000,136055,136909.1,134200,136909.1,7.424,1014136.4254
1749367200000,135288.4,136216.8,133644.1,136055,1.756,237325.379
1749367140000,134200,135600,132222,135288.4,1.484,199466.9527
1749367080000,134200,135078.3,132222,134200,1.485,198867.1391
1749367020000,133400,134437.4,131800,134200,2.156,288142.6024
1749366960000,133200,133991.4,131848,133400,1.482,196763.9782
1749366900000,132400,133200,131000,133200,1.472,194769.5498
1749366840000,131600,132713.9,130063.9,132400,7.56,998772.9849
1749366780000,130000,132066.5,129409,131600,1.528,200153.8179
1749366720000,130688.7,131482,129155.5,130000,2.301,300580.8965
1749366660000,129800,130810.3,128400,130688.7,1.484,192663.0592
1749366600000,129409,130554.7,127622.3,129800,1.622,209628.1524
1749366540000,129200,129673,124761.8,129409,2.507,319103.2956
1749366480000,125500.5,129493.5,125500.5,129200,1.91,245194.7355
1749366420000,129836.8,130200,123103.8,125500.5,13.46,1731941.3924
1749366360000,129000,129836.8,127211.8,129836.8,1.193,153735.4144
1749366300000,127211.8,129259.8,126855.7,129000,1.189,152674.4361
1749366240000,127907.9,128552.1,126089.1,127211.8,1.239,158162.7042
1749366180000,126600,127907.9,126600,127907.9,7.78,993023.4707
1749366120000,125800,126985.3,125800,126600,0.896,113219.7799
1749366060000,124800,126089.1,124800,125800,0.847,106239.9437
1749366000000,124359.7,125200,124000,124800,2.265,282622.8705
1749365940000,123200,124359.7,123200,124359.7,0.878,108607.004
1749365880000,123000.5,123567.4,120491.1,123200,7.266,893553.4517
1749365820000,121002.3,123000.5,119927.8,123000.5,2.497,304482.3331
1749365760000,121309.6,122322,119661,121002.3,2.368,287202.487
1749365700000,119500,121600,119380,121309.6,1.462,176243.0024
1749365640000,120212,120937.1,118800,119500,1.587,190214.6878
1749365580000,119750,120212,118255.5,120212,1.559,186060.9865
1749365520000,118773.2,119750,117656.3,119750,1.417,168411.6523
1749365460000,118750,119095.8,117200,118773.2,1.531,180950.2777
1749365400000,116500,118750,116500,118750,2.38,281023.8695
1749365340000,118007.3,118400,116500,116500,1.498,176003.6481
1749365280000,117250,118007.3,116123.1,118007.3,1.446,169442.3966
1749365220000,116621.1,117514.5,115356.5,117250,1.604,187068.6625
1749365160000,116500,116800,115250,116621.1,1.379,159921.2988
1749365100000,115500,116646.5,114500,116500,1.58,182889.5715
1749365040000,115323.3,115500,113980,115500,0.944,108092.41
1749364980000,120000,120000,115323.3,115323.3,1.848,215039.7311
1749364920000,110144.5,120439.9,104589.6,120000,56.147,6167494.2427
1749364860000,133800,135046.9,104589.6,110144.5,78.531,9075593.5987
1749364800000,157708.7,158855.7,133800,133800,161.213,24879142.5932
1749364740000,155063.2,157906.6,152760.6,157708.7,215.877,33564039.3893
1749364680000,155531.5,157114.9,152562.7,155063.2,215.475,33347939.9987
1749364620000,155265.3,155592.2,155063.2,155531.5,98.089,15254017.843
1749364560000,153948.1,155265.3,153948.1,155265.3,67.938,10511480.5068
1749364500000,153156.5,154146.1,149000,153948.1,63.644,9647762.4794
1749364440000,151771,153461.2,151573.1,153156.5,437.839,66566216.2588
1749364380000,151795.9,152204.1,151375.1,151771,48.565,7380901.5787
1749364320000,150385.5,151795.9,150385.5,151795.9,9.762,1475745.0462
1749364260000,149642.9,150653.1,149428.6,150385.5,15.01,2251705.4709
1749364200000,148927.5,149642.9,147967,149642.9,3.852,572258.3074
1749364140000,146502,149071.4,146502,148927.5,503.934,75098515.3811
1749364080000,148213.8,148857.1,146502,146502,3.798,558031.9332
1749364020000,146502,148428.6,146502,148213.8,4.853,712433.7156
1749363960000,146502,147857.1,146502,146502,3.577,524431.5087
1749363900000,145871.5,146901.5,145756,146502,641.444,93806406.6942
1749363840000,144214.3,145871.5,141075.6,145871.5,212.124,30845123.7101
1749363780000,143938.2,145005.8,143895.1,144214.3,123.811,17842243.6778
1749363720000,142815.8,143941.3,139151.8,143938.2,95.186,13653512.2698
1749363660000,141472.5,142860.2,137774.1,142815.8,93.478,13245067.3944
1749363600000,140902.1,142311.1,140188,141472.5,3.377,476419.538
1749363540000,140331.7,141491.9,137346.4,140902.1,421.091,59338847.9897
1749363480000,139000,141075.6,139000,140331.7,34.154,4801346.4528
1749363420000,139237.6,140000,139000,139000,31.366,4377926.3723
1749363360000,135288.4,139237.6,135000,139237.6,36.064,5004416.0697
1749363300000,137479.5,138218.7,134400,135288.4,33.267,4586186.3861
1749363240000,136200,137479.5,135288.4,137479.5,541.126,73982572.0689
1749363180000,135600,136527.8,134521.8,136200,2.989,405881.6775
1749363120000,133755.2,135600,133755.2,135600,2.701,364257.386
1749363060000,133937.4,134627.4,131054.1,133755.2,258.825,34732919.7642
1749363000000,132197.4,133937.4,130447,133937.4,2.84,376351.2186
1749362940000,132400,133146,129155.5,132197.4,510.416,67693717.3454
1749362880000,131482,132400,130609.6,132400,8.833,1166337.7656
1749362820000,130634.4,131482,129409,131482,3.506,458605.1494
1749362760000,129800,130634.4,128479.5,130634.4,248.94,32303611.1932
1749362700000,128923.1,129800,127622.3,129800,248.606,32131567.4699
1749362640000,128000,128923.1,126855.7,128923.1,2.821,361708.9116
1749362580000,127461.7,128115,123832.3,128000,248.225,31576939.9411
1749362520000,126652,127461.7,123387.3,127461.7,5.106,641398.3255
1749362460000,125786,126652,122661.2,126652,4.338,541383.3814
1749362400000,125000,125786,121930,125786,137.889,17261542.798
1749362340000,123373.2,125073,123014.4,125000,31.426,3904286.0179
1749362280000,123750.9,124400,120590,123373.2,6.75,830577.8772
1749362220000,122902.8,123750.9,122400,123750.9,6.563,808043.7943
